Punto de monitoreo,Depto,Municipio
Brisas del Lolo,META,PUERTO GAITAN
Cachipay P1 (Bosque pequeño),META,BARRANCA DE UPIA
Cachipay P2 (Bosque grande),META,BARRANCA DE UPIA
El Boqueron,META,PUERTO LOPEZ
Finca samanes,META,SAN MARTÍN
Finca samanes 2 (P1),META,SAN MARTÍN
Finca samanes 2 (P2),META,SAN MARTÍN
HACIENDA NUEVO MURURITO (P1)Bosque,META,PUERTO LOPEZ
HACIENDA NUEVO MURURITO (P2) Moricha,META,PUERTO LOPEZ
LA CASTELLANA (P1 derecha),META,SAN MARTÍN
LA CASTELLANA (P2 izquierda),META,SAN MARTÍN
LA ESPERANZA (NAVAJAS),META,PUERTO GAITAN
LA ESPERANZA (PLANAS),META,PUERTO GAITAN
LA FLOR,META,SAN MARTÍN
LA GRAN CONQUISTA,META,SAN MARTÍN
LAS BRISAS,META,SAN MARTÍN
PLANTACIÓN EL CEDRAL,META,PUERTO LOPEZ
VERACRUZ II,META,SAN MARTÍN
VERACRUZ III,META,SAN MARTÍN
ANGOSTURAS,VICHADA,LA PRIMAVERA
"BELLAVISTA (P1,sabana)",VICHADA,CUMARIBO
BELLAVISTA (P2. bosque),VICHADA,CUMARIBO
BET-EL,VICHADA,SANTA ROSALIA
BORAL,VICHADA,LA PRIMAVERA
BUENAVISTA P1 (sabana),VICHADA,CUMARIBO
BUENAVISTA P2 (bosque),VICHADA,CUMARIBO
CAPIJIRTO,VICHADA,CUMARIBO
CAWINANAY,VICHADA,CUMARIBO
CAYURE,VICHADA,CUMARIBO
CONSTITUCION,VICHADA,CUMARIBO
CONTROL RESERVA,VICHADA,SANTA ROSALIA
DOS DIAMANTES,VICHADA,CUMARIBO
EL ALGABRROBO (P1 bosque),VICHADA,PUERTO CARREÑO
EL ALGABRROBO (P2 sabana),VICHADA,PUERTO CARREÑO
EL AMANECER,VICHADA,PUERTO CARREÑO
EL AMPARO,VICHADA,SANTA ROSALIA
EL CAPRICHO (p1) sabana,VICHADA,CUMARIBO
EL CAPRICHO (p2) bosque,VICHADA,CUMARIBO
EL CONTROL,VICHADA,SANTA ROSALIA
EL SINAI,VICHADA,SANTA ROSALIA
EL VENADO,VICHADA,LA PRIMAVERA
FINCA LAS BRISAS,VICHADA,SANTA ROSALIA
LA ESMERALDA,VICHADA,LA PRIMAVERA
LA FORTUNA,VICHADA,LA PRIMAVERA
LA GAVIOTA,VICHADA,LA PRIMAVERA
LA HERMITA,VICHADA,CUMARIBO
LA LAGUNA (La palmita),VICHADA,LA PRIMAVERA
LA MILAGROSA (P1),VICHADA,LA PRIMAVERA
LA MILAGROSA (P2),VICHADA,LA PRIMAVERA
LA ORQUIDEA,VICHADA,SANTA ROSALIA
LA SIERRA,VICHADA,LA PRIMAVERA
LAGUNA GRANDE,VICHADA,LA PRIMAVERA
LAS DELICIAS,VICHADA,SANTA ROSALIA
LAS GAVIOTAS,VICHADA,SANTA ROSALIA
LOS CLAVELES,VICHADA,CUMARIBO
LOS HUERFANITOS,VICHADA,LA PRIMAVERA
LUCITANIA,VICHADA,LA PRIMAVERA
LUISYANA (P1 Bosque),VICHADA,PUERTO CARREÑO
LUISYANA I (P2 Sabana),VICHADA,PUERTO CARREÑO
MUZOLANDIA,VICHADA,CUMARIBO
NEWCHATEL,VICHADA,PUERTO CARREÑO
SANTA ANA,VICHADA,CUMARIBO
SANTA PAULA,VICHADA,CUMARIBO
TIERRA SANTA,VICHADA,SANTA ROSALIA
VENUS,VICHADA,LA PRIMAVERA
VILLA LORENA,VICHADA,LA PRIMAVERA